Model,Accuracy,Accuracy_CI,Macro_F1,F1_CI,Type,Precision_Low,Recall_Low,F1_Low,Precision_Moderate,Recall_Moderate,F1_Moderate,Precision_Severe,Recall_Severe,F1_Severe
CNN (Kim 2014),0.996078431372549,0.00588235294117645,0.9969148352534933,0.004866246493660575,Deep Learning,1.0,0.9879518072289156,0.993939393939394,0.9936305732484076,1.0,0.9968051118210862,1.0,1.0,1.0
Tiny Transformer,0.996078431372549,0.00588235294117645,0.9969148352534933,0.004866246493660575,Deep Learning,1.0,0.9879518072289156,0.993939393939394,0.9936305732484076,1.0,0.9968051118210862,1.0,1.0,1.0
Logistic Regression,0.984313725490196,0.01568627450980392,0.9699111724271469,0.03534120535865676,Baseline,0.9878048780487805,0.9759036144578314,0.9818181818181818,0.9872611464968153,0.9935897435897436,0.9904153354632588,0.9375,0.9375,0.9375
Naive Bayes,0.984313725490196,0.01377450980392153,0.9781679286183623,0.026567842291015276,Baseline,0.9540229885057471,1.0,0.976470588235294,1.0,0.9807692307692307,0.9902912621359222,1.0,0.9375,0.967741935483871
Decision Tree,0.9803921568627451,0.017647058823529405,0.9669945250827604,0.038401133432417855,Baseline,0.9540229885057471,1.0,0.976470588235294,1.0,0.9743589743589743,0.9870129870129869,0.9375,0.9375,0.9375
Random Forest,0.9647058823529412,0.02161764705882352,0.9189594356261024,0.06323031700145759,Ensemble,0.9529411764705882,0.9759036144578314,0.9642857142857143,0.9685534591194969,0.9871794871794872,0.9777777777777779,1.0,0.6875,0.8148148148148148
Naive Predictor,0.611764705882353,0.05882352941176466,0.25304136253041365,0.015115948214539779,Baseline,0.0,0.0,0.0,0.611764705882353,1.0,0.759124087591241,0.0,0.0,0.0
LSTM,0.611764705882353,0.05882352941176466,0.25304136253041365,0.015115948214539779,Deep Learning,0.0,0.0,0.0,0.611764705882353,1.0,0.759124087591241,0.0,0.0,0.0
